start	end	text
747680	749680	Quería saludar también a la red uno
749680	751680	por este espacio democrático
751680	753680	que nos permite llegar a todos y cada uno de los hogares
753680	755680	en nuestro país.
755680	757680	Lamentablemente tenemos que lamentar la ausencia
757680	759680	de algunos candidatos
759680	761680	que no tienen esa vocación democrática
761680	763680	al pueblo boliviano.
763680	765680	Soy Eduardo del Castillo,
765680	767680	un joven cruceño, un joven boliviano
767680	769680	que conoce, que siente
769680	771680	todas y cada una de las demandas,
771680	773680	las necesidades que tienen
773680	775680	y tenemos todo un plan para trabajar.
775680	777680	Quiero aprovechar la oportunidad de saludar también
777680	779680	a los candidatos de la derecha
779680	781680	que se encuentran a mi derecha
781680	783680	que básicamente se tomaron esta fotografía
783680	785680	cuando mi persona tan solo tenía
785680	787680	9 años de edad.
787680	789680	El camino de la renovación será el nuestro.
789680	791680	No queremos volver al pasado,
791680	793680	sino que queremos que la juventud
793680	795680	ponga a Bolivia primero.
795680	797680	Gracias, candidato.
797680	799680	Gracias por la presentación.
799680	801680	Bien.
801680	803680	No perdamos más tiempo.
803680	805680	Comenzamos con el primer eje temático
805680	807680	no sin antes agradecer a todos
807680	809680	los candidatos que nos acompañan
809680	811680	esta noche en el primer debate presidencial.
811680	813680	El tema económico
813680	815680	sumamente importante
815680	817680	por el que está atravesando nuestro país
817680	819680	la crisis,
819680	821680	vamos a abordarlo a continuación.
832680	834680	Y ahora conozcamos por favor
834680	836680	el orden de intervenciones.
839680	841680	Economía, orden de intervención.
843680	845680	El orden de intervención de los candidatos
845680	847680	ha sido realizado mediante sorteo notariado
847680	849680	con los delegados de cada partido político
849680	851680	y se realiza de la siguiente manera.
875680	877680	Es el orden de intervención en el eje económico
877680	879680	y ya lo habíamos dicho hay un sorteo previo notariado.
879680	881680	Comenzamos con el candidato
881680	883680	Johnny Fernández tiene tres minutos
883680	885680	para explicarle al país
885680	887680	su programa económico.
887680	889680	Adelante, candidato.
889680	891680	Muchas gracias.
891680	893680	Bolivia está pasando por una crisis muy profunda
893680	895680	y no es con medidas parciales.
895680	897680	No son con medidas a medias
897680	899680	ni tampoco con recetas traídas
899680	901680	traídas para la crisis.
901680	903680	Es el orden de intervención en el eje económico
903680	905680	y tampoco con recetas traídas de afuera.
905680	907680	Porque eso no ha dado resultado
907680	909680	ni en el pasado ni en el presente.
909680	911680	Queremos un futuro mejor
911680	913680	para nuestra Bolivia.
913680	915680	Pero atrevamos no a hacer lo siguiente.
915680	917680	Primero, hay que hacer
917680	919680	una reforma constitucional,
919680	921680	reforma el Código Tributario,
921680	923680	reforma la ley de inversiones
923680	925680	porque son leyes marcos para poder reactivar
925680	927680	la economía del país.
927680	929680	Segundo, tenemos que reducir
929680	931680	la burocracia.
931680	933680	La burocracia que está en este momento,
933680	935680	no solo en el poder ejecutivo, poder legislativo
935680	937680	en las instituciones que tiene el Estado.
937680	939680	Nosotros proponemos
939680	941680	la reducción de un 30%.
941680	943680	Ojo, esto es importante
943680	945680	para optimizar los recursos económicos
945680	947680	y no estar gastando en burocracia
947680	949680	y en gastos innecesarios
949680	951680	que hasta ahora el Estado ha estado
951680	953680	gaste que gaste y lo único que hemos visto
953680	955680	es lo que hoy tenemos.
955680	957680	Déficit, inflación,
957680	959680	que es lo que está en este momento apretando
959680	961680	a los ciudadanos.
961680	963680	La reducción gradual de la subvención
963680	965680	de los carburantes.
965680	967680	Eso es importante.
967680	969680	Nosotros no vamos a tomar una medida
969680	971680	de shock, de decir mañana
971680	973680	va a costar tanto 100, 200, 300,
973680	975680	400% más los carburantes.
975680	977680	Va a ser gradual
977680	979680	para que el impacto no afecte
979680	981680	a la economía de los más humildes, sobre todo.
981680	983680	Vamos a liberar las exportaciones.
983680	985680	Eso es importante
985680	987680	darle las condiciones
987680	989680	a los que producen, a los que exportan
989680	991680	para que ya no haya más restricciones
991680	993680	y ellos puedan salir y vender su producto
993680	995680	y traer divisas al país.
995680	997680	Otra de las propuestas importantes
997680	999680	que tenemos
999680	1001680	es autorizar el uso
1001680	1003680	de transgénicos
1003680	1005680	para incrementar la producción
1005680	1007680	y así evitar los desmontes
1007680	1009680	y las quemas que tenemos
1009680	1011680	en nuestros bosques.
1011680	1013680	De esta manera, habilitaremos
1013680	1015680	a nuestro país también
1015680	1017680	para que sea accesible
1017680	1019680	a través de los bonos de carbono
1019680	1021680	más ingresos para los bolivianos.
1021680	1023680	Para frenar la crisis
1023680	1025680	también tomaremos medidas inmediatas.
1025680	1027680	Una de esas medidas
1027680	1029680	es el perdonazo tributario.
1029680	1031680	Hay mucha gente, pequeños, medianos
1031680	1033680	y grandes empresarios
1033680	1035680	que en este momento están sometidos
1035680	1037680	a lo que ha sido
1037680	1039680	ese ahogo que impuestos internos
1039680	1041680	ha puesto como prioridad
1041680	1043680	para los pequeños y medianos empresarios.
1043680	1045680	El perdonazo tributario
1045680	1047680	es para las multas, los intereses.
1047680	1049680	El capital omitido se mantiene
1049680	1051680	y será pagado también
1051680	1053680	en cuotas.
1053680	1055680	Eso obviamente va a liberar
1055680	1057680	de esta situación complicada
1057680	1059680	que están viviendo muchos contribuyentes
1059680	1061680	que se les ha rematado sus bienes
1061680	1063680	que muchos están con retenciones
1063680	1065680	otros están en peligro de cerrar sus empresas
1065680	1067680	hay que habilitarlas económicamente
1067680	1069680	con este tipo de medidas.
1069680	1071680	También estamos hablando
1071680	1073680	de la nacionalización
1073680	1075680	de los autos indocumentados
1075680	1077680	para poder generar recursos
1077680	1079680	para Bolivia.
1079680	1081680	Vamos a hacer muy claros con esto
1081680	1083680	nosotros aquí en el programa
1083680	1085680	en el marco del debate. Cada uno de los candidatos
1085680	1087680	tiene tres minutos en este bloque de economía
1087680	1089680	para explicar su programa
1089680	1091680	y su propuesta en base al eje
1091680	1093680	temático de economía.
1093680	1095680	Después vendrán obviamente las intervenciones
1095680	1097680	de las preguntas. Habrá una pregunta
1097680	1099680	hay un orden para
1099680	1101680	que puedan preguntarse entre candidatos
1101680	1103680	de acuerdo a sorteo.
1103680	1105680	Luego de la pregunta, efectivamente
1105680	1107680	viene la respuesta
1107680	1109680	y si corresponde
1109680	1111680	la duplica también.
1111680	1113680	Todo está cronometrado.
1113680	1115680	Por eso los candidatos están escuchando
1115680	1117680	atentamente la propuesta de los otros
1117680	1119680	candidatos.
1119680	1121680	Es turno de acuerdo al orden
1121680	1123680	de que Jorge Tutokiroga le pregunte
1123680	1125680	en 15 segundos
1125680	1127680	a partir de lo que ha expuesto
1127680	1129680	la propuesta.
1129680	1131680	Adelante Jorge.
1131680	1133680	Gracias, Johnny.
1133680	1135680	En el foro agropecuario se habló
1135680	1137680	de la importancia de garantizar la propiedad
1137680	1139680	privada con tierra titulada
1139680	1141680	para quien la trabaja produce
1141680	1143680	exporte y comercia.
1143680	1145680	¿No estuviste en este foro?
1145680	1147680	¿Respaldas esa propuesta?
1147680	1149680	Siempre que esté en el marco
1149680	1151680	de la constitución, porque tenemos
1151680	1153680	una constitución en este momento vigente.
1153680	1155680	Mientras no sea reformada esta constitución
1155680	1157680	hay que haber medidas inmediatas.
1157680	1159680	Son medidas, yo creo,
1159680	1161680	a mediano plazo y hay que ver
1161680	1163680	primero en esta constitución
1163680	1165680	se determina claramente
1165680	1167680	que la seguridad jurídica no es sólo
1167680	1169680	para el ciudadano común, sino para todo el
1169680	1171680	que produce, para todo el que está en el
1171680	1173680	comercio, la industria, para todo el que
1173680	1175680	trabaja la tierra, también
1175680	1177680	hay que hacer respetar esta constitución
1177680	1179680	y vamos a poder así avanzar.
1179680	1181680	Hay que cambiar algunos elementos fundamentales
1181680	1183680	en lo que son medidas que se han ido
1183680	1185680	tomando desde el poder ejecutivo
1185680	1187680	en gestiones anteriores,
1187680	1189680	que el único que hacen es desincentivar
1189680	1191680	la inversión en producción
1191680	1193680	y lo que hacen en este momento.
1193680	1195680	Bien, tiempo.
1195680	1197680	Tuto, réplica.
1197680	1199680	Gracias, Johnny.
1199680	1201680	Estoy planteando una revolución
1201680	1203680	propietaria, que los bolivianos seamos
1203680	1205680	dueños de nuestro destino, sujetos
1205680	1207680	de crédito, agentes económicos
1207680	1209680	activos. Nadie cuida
1209680	1211680	lo ajeno, todos cuidamos
1211680	1213680	de lo propio.
1213680	1215680	Y caminando por Bolivia, recorriendo
1215680	1217680	los mercados, tú tienes experiencia
1217680	1219680	como alcalde, las caceras piden
1219680	1221680	propiedad titulada de
1221680	1223680	sus puestos de venta. Vamos a hacer
1223680	1225680	una ley para hacerlo, me interesaría ver
1225680	1227680	como alcalde si respaldas esta propuesta.
1227680	1229680	Johnny. Hay que trabajar
1229680	1231680	en dos ángulos, el primero,
1231680	1233680	las APP, Alianzas Público
1233680	1235680	Privado, donde el sector público
1235680	1237680	y el sector privado puedan invertir
1237680	1239680	en este tipo de emprendimiento.
1239680	1241680	El segundo, el privado
1241680	1243680	generando primera confianza y seguridad
1243680	1245680	jurídica para las inversiones.
1245680	1247680	Creemos que ese es el camino correcto
1247680	1249680	para poder así tener mayores
1249680	1251680	inversiones en Bolivia. Otra cosa
1251680	1253680	importante, son los pequeños y medianos
1253680	1255680	empresarios, quienes deben
1255680	1257680	de tener el apoyo del Estado,
1257680	1259680	no así sacrificarlos con impuestos.
1259680	1261680	Muy bien, muchas gracias.
1261680	1263680	Si se quedaron con dudas, aquí hay.
1263680	1265680	Pregunta,
1265680	1267680	réplica, duplica, pero bueno,
1267680	1269680	si quieren preguntar mucho más, más adelante
1269680	1271680	va a tener la oportunidad. Seguimos en el eje temático.
1271680	1273680	Le consulta Samuel Doremedina, Johnny
1273680	1275680	Fernández en 15 segundos, por favor.
1275680	1277680	Gracias, Cecilia.
1277680	1279680	Normalmente
1279680	1281680	cuando uno busca un ascenso,
1281680	1283680	tiene que tener
1283680	1285680	ciertos credenciales de lo que ha hecho
1285680	1287680	donde está. Yo quisiera
1287680	1289680	saber qué ha hecho Johnny en la
1289680	1291680	alcaldía para creer que puede ir a la presidencia.
1293680	1295680	A apoyar a todos los
1295680	1297680	emprendimientos basados en la ley
1297680	1299680	que es esta, la Constitución
1299680	1301680	y la Ley de Municipalidades. Y usted
1301680	1303680	es un ejemplo, quién fue el que le dio
1303680	1305680	la autorización para que construya sus edificios,
1305680	1307680	quién fue el que no le puso trabas
1307680	1309680	para que usted haga inversión en Santa Cruz.
1309680	1311680	Lo mismo voy a hacer como presidente.
1311680	1313680	No poner trabas, liberar
1313680	1315680	ya algunas, algunos
1315680	1317680	cuello de botella que tiene la ley de inversiones
1317680	1319680	para que los empresarios bolivianos
1319680	1321680	extranjeros vengan,
1321680	1323680	tengan seguridad jurídica, inviertan con
1323680	1328720	generan empleo, no estamos mirando de qué color político. Usted de otro color
1328720	1333200	político nunca le pusimos trabas para que usted construya en Bolivia y siga
1333200	1337200	generando empleo y lo haremos con todos lo que quieran emprender nuevos
1337200	1341040	proyectos en Bolivia, porque de eso se trata en este momento.
1341040	1342800	Samuel, adelante.
1342800	1348600	Además de que no haya trabas, que ahora hay bastantes, ¿cómo va a
1348600	1353600	incentivar la inversión privada, nacional y extranjera en el país?
1353600	1357600	Lo primero que tenemos que hacer es cambiar la ley de inversiones.
1357600	1361600	Tenemos que hacer una serie de modificaciones. La ley tributaria.
1361600	1366600	Tenemos que darle seguridad jurídica para los que quieren invertir, los que quieren venir con recursos.
1366600	1371600	Nadie va a invertir si las reglas como están en este momento no le dan garantía
1371600	1376600	al que viene y quiere emprender algún negocio. Es la seguridad jurídica.
1376600	1381600	Lo primero que tenemos que trabajar. Lo segundo que tenemos que trabajar es que el estado
1381600	1386600	impulse, apoye a todos esos emprendimientos, ya sean pequeños, medianos o grandes,
1386600	1389600	para que se puedan instalar nuevas empresas y nuevos negocios.
1389600	1393600	Gracias, candidato. Le toca la pregunta al candidato Manfred Reyes Villa,
1393600	1396600	al candidato Johnny Fernández. Manfred, adelante.
1396600	1402600	Johnny, has manifestado el otro día te he escuchado decir hablar de Bolivia 360,
1402600	1405600	que hubiéramos traído un modelo de afuera, un modelo económico.
1405600	1409600	Quisiera saber cuál es el documento que hemos firmado,
1409600	1414600	de qué se trata, que le expliques aquí a la población boliviana o que le muestres.
1414600	1419600	Muy buena la pregunta porque ustedes estuvieron en Boston.
1419600	1422600	Creo que excepto un candidato.
1422600	1425600	Y ustedes saben a qué fueron.
1425600	1428600	Y ustedes saben que hubo una reunión secreta.
1428600	1431600	Y ustedes saben que firmaron documento.
1431600	1433600	Y lo voy a revelar al país.
1433600	1437600	Porque si uno quiere ser presidente tiene que ser honesto con el pueblo.
1437600	1440600	Yo no recibo instrucciones ni receta.
1440600	1444600	Mi candidatura no está financiada por nadie, ni nacional ni internacional.
1444600	1449600	Segundo, lo que usted manifiesta es este documento.
1449600	1452600	Esto es lo que han firmado.
1452600	1455600	Esto es la receta que han traído a Bolivia.
1455600	1457600	Yo no voy a ir a tres recetas de afuera.
1457600	1460600	Con el país, con los bolivianos estoy construyendo un proyecto diferente.
1461600	1463600	Gracias candidato.
1463600	1468600	Creo que hoy vas que nunca tenemos que ser responsables frente al pueblo boliviano.
1468600	1471600	Y no mentir y morsar cualquier papel.
1471600	1473600	Ninguna receta se ha firmado.
1473600	1476600	Hemos sido escuchar la situación crítica económica
1476600	1479600	por los diferentes organismos internacionales de la situación
1479600	1481600	como se encuentra Bolivia.
1481600	1484600	Lamento que no te hayan invitado y que no te hayan tomado en cuenta.
1484600	1486600	Pero que digas que hemos firmado.
1486600	1490600	Realmente me parece que es una total falacia
1490600	1493600	de parte de alguien que quiere ser presidente Bolivia.
1493600	1495600	Johnny.
1495600	1498600	Está, escúcheme, parece que no ha leído el tweet
1498600	1502600	o en la página X del señor Claure.
1502600	1506600	Yo lo denuncié y le dije a que fueron ustedes
1506600	1510600	a traer las recetas para imponer, quitar bonos,
1510600	1514600	levantar la subvención, liberar a Camacho
1514600	1517600	y muchos otros temas más que están en este documento.
1517600	1520600	Y saben qué? Me quiero decir otra cosa.
1520600	1523600	Yo recetas de afuera no voy a traer a Bolivia
1523600	1525600	porque nosotros los bolivianos tenemos dignidad
1525600	1527600	y tenemos que ser responsables con...
1527600	1529600	Muchas gracias candidato.
1529600	1531600	Es tiempo en este momento y en este instante
1531600	1533600	de las preguntas al candidato Johnny Fernández
1533600	1535600	y parte de Eduardo del Castillo.
1535600	1537600	Candidato del Castillo adelante.
1537600	1539600	Alcalde, la siguiente pregunta.
1539600	1541600	Estamos en el área económica.
1541600	1545600	¿Qué propuestas tiene para los emprendedores de nuestro país
1545600	1548600	para que puedan acceder a créditos productivos?
1548600	1551600	Hay que crear y generar la confianza
1551600	1554600	y la confianza es cambiando normativas.
